numero,nom,type,population_2009,pct_population_mtp,surface_km2,densite_hab_km2,pct_proprietaires,pct_locataires,pct_logements_sociaux,pop_0_14_ans_nb,pop_0_14_ans_pct,pop_15_29_ans_nb,pop_15_29_ans_pct,pop_30_44_ans_nb,pop_30_44_ans_pct,pop_45_59_ans_nb,pop_45_59_ans_pct,pop_60_74_ans_nb,pop_60_74_ans_pct,pop_75_ans_et_plus_nb,pop_75_ans_et_plus_pct,pop_2_5_ans__nb,pop_2_5_ans__pct,pop_6_10_ans__nb,pop_6_10_ans__pct,pop_11_14_ans_nb,pop_11_14_ans_pct,pop_15_17_ans__nb,pop_15_17_ans__pct,pop_18_24_ans__nb,pop_18_24_ans__pct,pop_25_29_ans__nb,pop_25_29_ans__pct,pop_niveau_de_diplôme_dans_la_population_non_scolarisée_15_ans_et_plus_nb,pop_niveau_de_diplôme_dans_la_population_non_scolarisée_15_ans_et_plus_pct,pop_population_des_15_64_ans_par_type_d'activité_nb,pop_population_des_15_64_ans_par_type_d'activité_pct,pop_15_24_ans__nb,pop_15_24_ans__pct,pop_25_54_ans__nb,pop_25_54_ans__pct,pop_55_64_ans__nb,pop_55_64_ans__pct,pop_entre_2_4_ans_nb,pop_entre_2_4_ans_pct,pop_entre_5_9_ans_nb,pop_entre_5_9_ans_pct,csp_agriculteurs_exploitants_nb,csp_agriculteurs_exploitants_pct,csp_artisans_nb,csp_artisans_pct,csp_cadres_nb,csp_cadres_pct,csp_employ_nb,csp_employ_pct,csp_ouvriers_nb,csp_ouvriers_pct,csp_retrait_nb,csp_retrait_pct,diplome_cep_nb,diplome_cep_pct,diplome_bepc_nb,diplome_bepc_pct,diplome_dipl_nb,diplome_dipl_pct,transport_pas_de_transport_nb,transport_pas_de_transport_pct,transport_marche_a_pied_nb,transport_marche_a_pied_pct,transport_deux_roues_velo_nb,transport_deux_roues_velo_pct,transport_voiture_camion_nb,transport_voiture_camion_pct,transport_transport_commun_nb,transport_transport_commun_pct,equipement_pas_de_voiture_nb,equipement_pas_de_voiture_pct,equipement_une_voiture_nb,equipement_une_voiture_pct,equipement_deux_voitures_ou_plus_nb,equipement_deux_voitures_ou_plus_pct,nb_menages,revenu_fiscal_moyen_menage,nb_allocataires_rsa
01,Hôpitaux-Facultés,sous-quartier,27726.0,0.10869531127489415,6.51,4258.9861751152075,0.18865513744380175,0.8113448625561983,0.08911047760220613,2885.366263,0.10406806409325961,15390.188512,0.555086245033206,4794.601675,0.17292948933864688,2447.7081820000003,0.08828281360062884,1299.371668,0.04686514005531978,908.524606,0.03276824787893884,0.6748616609344558,,0.9623726053645165,,0.9973787439252132,,0.971306643584259,,0.8697348716433398,,0.38364966098866626,,Femmes,Ensemble,,,,,,,,,,,,,0.0,0.0,384.39538000000005,0.015484582229812317,2769.386025,0.1115590557571362,3372.5653730000004,0.13585690297223693,1404.7246660000003,0.056586462097756335,1816.0956930000002,0.07315770313229697,0.03302509907529723,0.027457098283931357,0.052997655071187436,0.04762423861154446,,,245.06037599999996,0.024291423541029148,871.705889,0.08640718380726038,751.458885,0.07448779091567426,6244.552276000001,0.6189864989043091,1975.572299,0.19582710283172697,4123.744213,0.28306011730027175,8098.729663,0.5559092053200464,2345.9656950000003,0.1610306775856065,14568.439568,,
02,Aiguelongue,sous-quartier,,,4.02,2399.253731343284,0.3532330386472656,0.6467669613527344,0.15864068116220623,1306.452176,0.13544779686520506,3019.372035,0.31303655623224347,1808.853986,0.1875348304020464,1710.467905,0.1773345504695251,1140.7543409999998,0.11826890037869159,659.5290600000001,0.06837736565228826,0.6886641948651023,,0.9417817447058029,,0.9868365307233314,,0.9383007896339437,,0.7786580176557752,,0.27844983923646793,,Femmes,Ensemble,,,,,,,,,,,,,10.841586,0.0013006104121668256,189.867453,0.022777441077661092,1486.6301290000001,0.17834352140160226,1172.6944119999998,0.14068223620944878,556.84641,0.06680205634339083,1502.4508329999999,0.18024145149690465,0.06316393913293138,0.05438931297709924,0.04902236233132357,0.041231845419847334,,,114.71851,0.028413103377371487,294.361243,0.07290642484504523,343.21448999999996,0.08500623643893065,2610.370755,0.6465280460414127,674.856299,0.16714618929724004,1010.8812549999993,0.1915833127963072,3066.685546,0.5812015736776448,1204.100774,0.22820248578406743,5276.457747,,
03,Plan des 4 seigneurs,sous-quartier,,,2.29,978.6026200873363,0.38419011203376696,0.6158098879662331,0.004303536711631307,238.561552,0.10646451497920409,682.211512,0.3044552532853637,431.79090199999996,0.19269831441180027,314.54762800000003,0.14037534704200413,273.796994,0.1221892795573951,299.85259,0.13381729072423262,0.6543340745705621,,0.9834367428942008,,1.0,,0.8373098933160159,,0.7987649058519009,,0.1833940217302973,,Femmes,Ensemble,,,,,,,,,,,,,8.478317,0.00426646468890374,29.391928999999998,0.01479062733998573,272.27455499999996,0.1370141945146046,296.974339,0.14944363732259935,92.925235,0.04676190260821598,528.964696,0.2661859891722262,0.04033214709371293,0.039077514413837285,0.06630209015421115,0.059589344010249845,,,8.59941,0.010052071643710709,48.486551,0.0566771772026724,74.118979,0.08663958190930417,632.976155,0.7399021164033966,91.305247,0.10672905284091608,124.57095199999992,0.11751586961060999,692.166127,0.6529652621536758,246.298069,0.23234896496535598,1060.035146,,
04,Paillade,sous-quartier,,,2.76,5043.478260869566,0.1985136539190408,0.8014863460809593,0.6018394859018011,3782.6957009999996,0.2717480109375555,3535.6187879999998,0.2539980609115486,2373.595931,0.17051859943378653,2064.6388349999997,0.148323190936918,1548.838276,0.11126819444019367,614.477744,0.04414394333999759,0.6874864073997812,,0.9545493723495118,,0.9683617490011586,,0.8413105959720254,,0.48016997271289014,,0.12335566430180947,,Femmes,Ensemble,,,,,,,,,,,,,10.541993,0.0010387049815201435,276.647508,0.027258142239777034,114.945164,0.011325573299892144,1470.0733689999997,0.1448466652918855,1747.605914,0.17219201042970372,1760.4224800000002,0.17345482960916836,0.07142477102450372,0.06439077680678991,0.05518821008650715,0.0515101141547566,,,105.140116,0.036771053810812346,137.703856,0.048159694810802324,39.600445,0.013849614680157997,1765.350903,0.6174029049880367,811.522135,0.2838167317101906,1457.6459949999999,0.31474926107568413,2513.697127,0.542782209127066,656.790846,0.14182073985650642,4631.133970000001,,
05,Hauts de Massane,sous-quartier,10173.0,0.04009664501481995,1.52,6692.763157894737,0.30824884088645127,0.6917511591135488,0.5248926621293027,2858.954585,0.28102948501364927,2345.49319,0.23055726269563023,1925.905773,0.18931266359063348,1651.910959,0.16237952450586882,981.3968989999998,0.09646934112455037,409.48674200000005,0.040251723069667816,0.7229055954174937,,0.9712365281745604,,0.9774679679398753,,0.8762907737748027,,0.47783424972851246,,0.06939371426448149,,Femmes,Ensemble,,,,,,,,,,,,,0.0,0.0,258.353399,0.03537540078245948,196.359958,0.026886862099603767,1350.4622370000002,0.18491393208049792,1159.9466169999998,0.15882731414202533,1166.7370890000002,0.1597571090254365,0.07147239263803681,0.06504460665044606,0.07822085889570553,0.06974858069748581,,,68.046004,0.024479173647957788,88.45705199999999,0.03182193529387018,114.280023,0.041111606311365616,1844.662515,0.663607138878626,664.3052660000001,0.23898014586818045,718.9929240000001,0.22248888060648603,1839.903693,0.5693492931778974,672.693755,0.20816182683450685,3231.5903700000003,21723.0,892.0
06,Celleneuve,sous-quartier,,,0.77,5697.402597402597,0.41928539686501665,0.5807146031349834,0.061397931079023034,716.4976979999999,0.16330646955082903,1136.176498,0.2589610171713414,1113.2497740000001,0.25373548418601943,646.241808,0.14729352018186764,431.713953,0.09839763856472647,343.562481,0.07830587034521606,0.599009900990099,,0.9952380952380953,,1.0,,0.9886363636363636,,0.548582995951417,,0.0812274368231047,,Femmes,Ensemble,,,,,,,,,,,,,0.0,0.0,78.163036,0.02129815198107874,349.811877,0.09531802885871042,744.4692660000001,0.20285572802609836,409.58850600000005,0.11160618492980469,677.003283,0.18447234845155272,0.06245091625687453,0.051250884136047295,0.08192340993287514,0.070205418287463,,,32.496967,0.0174658690615268,88.24795300000001,0.04742987836513394,111.03351799999999,0.05967624261146214,1321.6688210000002,0.7103461246179839,307.151082,0.1650818853438932,495.7750520000004,0.206917946506289,1569.608456,0.6550958085208906,330.61481100000003,0.13798624497282044,2395.9983190000003,23404.0,388.0
07,Alco,sous-quartier,,,2.12,9984.433962264151,0.26901615917610944,0.7309838408238906,0.19997554967070647,3837.778645,0.18130715761000785,6441.33494,0.3043062764203354,4214.156628999999,0.1990882827811874,3227.883372,0.152494037152559,1970.387722,0.09308650401995197,1475.7346870000001,0.06971774201595846,0.7165492957746479,,0.9776632302405498,,0.9693654266958425,,0.922971114167813,,0.605586592178771,,0.1724461105904405,,Femmes,Ensemble,,,,,,,,,,,,,12.140777,0.0007006174338907784,393.60491400000006,0.022714070509118202,1533.499237,0.08849485500807787,2893.7890249999996,0.16699417516002454,2130.100167,0.12292337738629568,2923.332921,0.16869908816539944,0.05349094739419594,0.047697143664528874,0.06345055491281651,0.05966656479528824,,,212.091363,0.028801958369790617,433.329591,0.05884605890519169,528.049364,0.07170898231778731,4907.344973,0.6664163199259899,1282.967417,0.17422668048124051,2408.353156,0.2378225915200918,5852.3601739999995,0.5779150203209048,1868.7810869999998,0.18454036111225294,10126.679474,22589.0,1554.0
08,Cévennes,sous-quartier,,,1.76,4971.022727272727,0.4761112569114293,0.5238887430885707,0.058579822554632004,1171.670082,0.1339139588696403,2240.2875,0.2560496958487408,1826.755607,0.2087857998414632,1479.022263,0.16904223256821566,1054.778961,0.12055409502204556,976.9101569999999,0.11165421784989456,0.7547169811320755,,0.9766233766233766,,1.0,,1.0,,0.6801556420233463,,0.23473541383989144,,Femmes,Ensemble,,,,,,,,,,,,,5.395991,0.0007113321426542341,204.055141,0.026899781831945576,986.195682,0.13000627457559022,1246.565825,0.164329840293802,543.404221,0.07163482831073753,1800.9602129999998,0.23741345883421888,0.07020650951323051,0.06042985859914851,0.056926498521728076,0.0540413622510782,,,111.78092,0.03141237290542044,379.860657,0.10674741816207996,344.00113,0.09667027052063996,2219.4635470000003,0.6237076648532787,503.39346,0.1414622735585809,883.3863529999999,0.18559413775628136,3082.104442,0.6475315296021952,791.2842880000001,0.1662440501290527,4759.775086,30759.0,358.0
09,Martelle,sous-quartier,7142.055199,0.027999275517484712,3.18,2245.929307861635,0.6918146349500054,0.3081853650499946,0.09020291625104555,1235.241403,0.17295321424748344,1280.171363,0.17924411494036674,1481.813493,0.20747718292732842,1668.272995,0.23358444432543513,1136.2422419999998,0.1590917754540866,340.31370300000003,0.04764926810529962,0.627819572162221,,0.9760034500454711,,0.9862562881096688,,0.96900761133117,,0.6281024786618377,,0.12252183285174502,,Femmes,Ensemble,,,,,,,,,,,,,1.145584,0.00019381155291179911,165.232946,0.02795434804994784,818.674272,0.1385044937649763,994.649233,0.16827619140129393,391.438783,0.0662241777147156,1421.738358,0.24053174537899571,0.05508695101239312,0.0503561830122387,0.08480934934657969,0.07619040201857,,,80.293721,0.026256333289026962,84.07834199999999,0.027493917861158703,256.457598,0.08386254969540265,2323.107719,0.759664513945931,314.133224,0.10272268520848053,226.91011100000014,0.07546348669105771,1593.912735,0.5300874955915025,1186.063278,0.3944490177174398,3006.8861240000006,39332.0,396.0
10,Chamberte,sous-quartier,6049.611937,0.02371652790105065,1.2,5041.343280833334,0.4775600393265816,0.5224399606734184,0.18665775573595145,1002.6164819999999,0.1657323630740515,1287.945761,0.21289725265232332,1160.634408,0.19185270395633974,1227.155605,0.20284864843885275,823.627761,0.13614555273580684,547.63192,0.09052347914262589,0.8191970245222052,,0.9771863105839459,,0.9794249263574076,,0.9799194805370144,,0.5737937905265331,,0.09370767881903568,,Femmes,Ensemble,,,,,,,,,,,,,0.0,0.0,143.23049,0.02837935785007321,448.913364,0.0889466551474911,907.672181,0.17984406556980587,504.794578,0.10001882957908399,1231.7777740000001,0.24406159777930392,0.06624415086094435,0.06699065874952392,0.09470031943917766,0.07921997047088915,,,62.075242,0.026565422327492694,113.944898,0.048763311102888285,223.94482599999998,0.09583835179807862,1535.0075940000002,0.6569144750256221,401.720651,0.17191843974591833,566.4274029999997,0.19074313711360383,1675.2284809999999,0.5641293732534995,727.926202,0.24512748963289646,2969.582086,31491.0,336.0
11,Estanove,sous-quartier,7764.658856,0.030440092739532694,1.43,5429.831367832168,0.5220799697460176,0.47792003025398233,0.09029063321533473,1263.808978,0.16276426323912663,1627.30379,0.2095782725525063,1596.249409,0.20557882047406717,1284.7223589999999,0.1654576695288105,1060.4120699999999,0.13656904825645821,932.16225,0.12005192594903101,0.7214599370630684,,0.9984236050396176,,0.9992493758898766,,0.9604337837903548,,0.4710601326410257,,0.08988685390121033,,Femmes,Ensemble,,,,,,,,,,,,,0.991093,0.00015231533187512122,183.08936599999998,0.028137942196237418,739.2469249999999,0.11361057006662122,1149.092194,0.17659731113449614,490.335684,0.07535684586479227,1787.41676,0.2746977094970441,0.06900713392928032,0.06216919886816333,0.08811583365996836,0.07552772961501945,,,92.807675,0.029103087927810682,292.843401,0.09183127632905491,292.396387,0.09169109947679607,2169.323234,0.6802670665216495,341.558094,0.10710746974468895,646.4463899999996,0.1620905386117491,2461.5989879999997,0.6172235037325473,880.1355209999999,0.22068595765570365,3988.180898999999,32241.0,309.0
12,Lemasson,sous-quartier,,,1.22,8659.016393442624,0.48068624697971196,0.5193137530202879,0.16338772561809903,1658.041774,0.15695361825550402,1943.292599,0.18395604352378173,1994.331251,0.18878746648784722,1797.438514,0.1701491981613344,1599.269671,0.1513901310364328,1571.5226619999999,0.14876354253509985,0.6722611842351414,,0.9684344534937469,,1.0,,0.9461673468798416,,0.5163996747415346,,0.0848593266424496,,Femmes,Ensemble,,,,,,,,,,,,,10.355339,0.001162364787212802,205.643326,0.023083026144071463,568.8395009999999,0.06385102462972012,1632.551646,0.1832504514450661,786.416933,0.08827362880028257,2819.071551,0.3164347882300887,0.13153964246067396,0.12218179245446265,0.10114769714278408,0.08698606179119159,,,116.581491,0.030733733122680722,326.805349,0.0861538850899628,281.903342,0.0743166175445448,2310.2395260000003,0.6090356576547166,757.74495,0.1997601065880951,1402.11461,0.26175679081909003,3053.9688020000003,0.5701367542794101,899.4714470000001,0.16791976755746324,5356.55486,26252.0,539.0
13,Croix d'Argent,sous-quartier,,,3.69,2495.121951219512,0.33434367698185136,0.6656563230181486,0.4201879771092939,1696.951125,0.1843075247556054,2107.937512,0.22894515902820078,1904.3142990000001,0.2068294423066521,1907.941754,0.20722342374923036,918.196821,0.09972625659267333,671.8307259999999,0.07296819356763816,0.6897953638785215,,0.9722616056978457,,0.9883329839290024,,0.9538775221502678,,0.5019348757292328,,0.10355835516129579,,Femmes,Ensemble,,,,,,,,,,,,,6.959003,0.0009272215835865848,194.34041,0.025894028600801887,652.032823,0.08687723035792502,1642.256473,0.21881520205557883,834.840829,0.11123467478144745,1369.496001,0.18247243904948957,0.0787273319788457,0.07781737494322787,0.09659108047145507,0.08328057915770112,,,53.30163,0.014031556630252528,185.71232700000002,0.048888430489583065,292.082397,0.07689015690899886,2564.141486,0.6750055574058217,703.459012,0.1851842985653439,656.6942089999998,0.16997575649892352,2218.988678,0.5743529850521285,988.7751899999998,0.2559300944400697,3863.458075,27567.0,502.0
