rang,city,n_dock,n_semi,n_ff,n_total,n_operators,n_dock_ops,total_cap_dock,E_dock,n_types,density_dock,dock_names,population,dock_per_1k_hab,cap_per_1k_hab,S_ville,C1_S,C2_E,log_density,C3_D,log_per_hab,C4_P,C5_M,IMD
1,Bordeaux,225,99,9597,9921,5,1,4520,0.7834,3,1.89,Le Vélo par TBM,264000.0,0.8522727272727272,17.12121212121212,0.3966,0.3966,0.7834,1.0612565021243408,0.6521667549281008,0.6164133863285559,0.41687080480929284,1.0,0.7872
2,Marseille,221,98,2071,2390,4,1,5190,0.8403,3,1.74,levélo - Marseille,873000.0,0.2531500572737686,5.945017182130584,0.3778,0.3778,0.8403,1.007957920399979,0.619413539267355,0.2256604271423243,0.1526106440301872,1.0,0.7547
3,Nantes,124,0,41,165,2,1,2467,0.8091,2,4.09,Naolib,323000.0,0.38390092879256965,7.637770897832817,0.7855,0.7855,0.8091,1.6272778305624314,1.0,0.32490627139091227,0.21972906793773428,0.6666666666666666,0.6624
4,Lyon,452,201,1404,2057,3,1,9457,0.8124,3,0.01,Vélo'v,1400000.0,0.32285714285714284,6.755,0.0215,0.0215,0.8124,0.009950330853168083,0.006114709280915466,0.2797938996027747,0.18922027116064238,1.0,0.6602
5,Rennes,57,55,0,112,2,1,1410,0.8574,2,2.9,LE vélo STAR,222000.0,0.2567567567567568,6.351351351351352,0.6312,0.6312,0.8574,1.3609765531356006,0.8363516835138166,0.22853439994908623,0.15455426722774748,0.6666666666666666,0.6213
6,Lille,268,77,0,345,2,1,5153,0.8162,2,1.51,V'lille,236000.0,1.135593220338983,21.834745762711865,0.4118,0.4118,0.8162,0.9202827531436926,0.5655351138321708,0.7587444630457585,0.5131271026386977,0.6666666666666666,0.6067
7,La Roche-sur-Yon,0,31,150,181,3,0,0,0.8304,2,2.06,-,55000.0,0.0,0.0,0.6159,0.6159,0.8304,1.1184149159642893,0.6872919270200681,0.0,0.0,0.6666666666666666,0.5907
8,Paris,1507,0,18364,19871,3,1,48410,0.7939,2,2.96,Vélib' Metropole,10700000.0,0.1408411214953271,4.524299065420561,0.4606,0.4606,0.7939,1.3762440252663892,0.845733899533752,0.1317658162198021,0.08911117615577588,0.6666666666666666,0.5782
9,Belfort,32,0,52,84,2,1,560,0.7467,2,1.01,Optymo Belfort,46000.0,0.6956521739130436,12.17391304347826,0.3313,0.3313,0.7467,0.6981347220709844,0.4290199921360018,0.5280674302004968,0.3571238060425914,0.6666666666666666,0.5616
10,Toulouse,434,0,128,562,2,1,7728,0.8694,2,0.97,VélÔToulouse,490000.0,0.8857142857142857,15.771428571428572,0.2419,0.2419,0.8694,0.6780335427498971,0.41666735084539946,0.6343066805370119,0.4289717619312601,0.6666666666666666,0.5615
11,Vichy,8,0,46,54,2,1,70,1.0,2,0.51,Vivélo,24000.0,0.3333333333333333,2.916666666666667,0.1734,0.1734,1.0,0.412109650826833,0.253250946511326,0.2876820724517809,0.19455492001313712,0.6666666666666666,0.5218
12,Brest,40,0,75,115,2,1,400,1.0,2,0.35,VéloZef,144000.0,0.2777777777777778,2.7777777777777777,0.123,0.123,1.0,0.3001045924503381,0.1844212382261816,0.245122458032985,0.16577251341939064,0.6666666666666666,0.5056
13,Angers,0,26,1223,1249,2,0,0,0.6653,2,0.65,-,154000.0,0.0,0.0,0.2178,0.2178,0.6653,0.5007752879124893,0.3077380386478981,0.0,0.0,0.6666666666666666,0.4867
14,Besançon,33,56,0,89,2,1,475,0.7844,2,0.1,VéloCité,117000.0,0.28205128205128205,4.0598290598290605,0.0973,0.0973,0.7844,0.09531017980432487,0.05857031787336713,0.24846135929849963,0.16803056051668705,0.6666666666666666,0.4799
15,Strasbourg,39,298,0,337,3,1,516,0.7269,2,0.21,Vélhop - Strasbourg,285000.0,0.1368421052631579,1.8105263157894735,0.0823,0.0823,0.7269,0.19062035960864973,0.11714063574673426,0.12825433552367888,0.08673641626844769,0.6666666666666666,0.4665
16,Nancy,37,0,0,37,1,1,689,0.8709,1,2.58,VélOstan'lib,104000.0,0.3557692307692308,6.625,0.8112,0.8112,0.8709,1.275362800412609,0.7837400451598415,0.3043689912367956,0.20584002416236566,0.3333333333333333,0.4661
17,Périgueux,3,0,0,3,1,1,60,1.0,1,0.45,Périvélo,30000.0,0.1,2.0,1.0,1.0,1.0,0.37156355643248307,0.22833443033145767,0.09531017980432487,0.06445679513580461,0.3333333333333333,0.4646
18,Amiens,45,0,0,45,1,1,850,0.8313,1,2.78,Velam,135000.0,0.3333333333333333,6.296296296296297,0.7495,0.7495,0.8313,1.3297240096314962,0.81714627008217,0.2876820724517809,0.19455492001313712,0.3333333333333333,0.4524
19,Carcassonne,10,0,0,10,1,1,86,0.5977,1,2.76,Cyclolibre,48000.0,0.20833333333333334,1.7916666666666667,0.8256,0.8256,0.5977,1.324418957401803,0.813886192343718,0.1892419996385284,0.1279814268196054,0.3333333333333333,0.4423
20,Auray,11,0,0,11,1,1,170,0.7861,1,1.89,AQTA,14000.0,0.7857142857142857,12.142857142857142,0.5915,0.5915,0.7861,1.0612565021243408,0.6521667549281008,0.5798184952529422,0.3921222480242716,0.3333333333333333,0.4352
21,Grenoble,0,408,824,1232,3,0,0,0.631,2,0.01,-,160000.0,0.0,0.0,0.003,0.003,0.631,0.009950330853168083,0.006114709280915466,0.0,0.0,0.6666666666666666,0.4294
22,Argelès-sur-Mer,6,0,0,6,1,1,60,0.7,1,1.69,Vélo d'Aqui,12000.0,0.5,5.0,0.6605,0.6605,0.7,0.9895411936137477,0.6080960331597066,0.4054651081081644,0.27420975872357867,0.3333333333333333,0.4258
23,Bourg-en-Bresse,45,0,0,45,1,1,537,0.7959,1,1.14,Rubis'Velo,42000.0,1.0714285714285714,12.785714285714286,0.4137,0.4137,0.7959,0.76080582903376,0.4675328421151076,0.7282385003712154,0.49249639361506087,0.3333333333333333,0.4057
24,La Baule,14,0,0,14,1,1,260,0.811,1,1.04,La Baule,16000.0,0.875,16.25,0.3737,0.3737,0.811,0.712949807856125,0.4381242062455372,0.6286086594223741,0.42511827869977603,0.3333333333333333,0.3899
25,Épinal,105,0,0,105,1,1,1615,0.947,1,0.13,Vilvolt,31000.0,3.3870967741935485,52.096774193548384,0.0413,0.0413,0.947,0.12221763272424921,0.07510557228079945,1.4786676812509056,1.0,0.3333333333333333,0.3876
26,Cergy-Pontoise,45,0,0,45,1,1,873,0.8789,1,1.58,VélO2,215000.0,0.20930232558139533,4.06046511627907,0.4451,0.4451,0.8789,0.9477893989335261,0.582438586166902,0.19004360288786493,0.12852353865413094,0.3333333333333333,0.3799
27,Dijon,40,0,0,40,1,1,881,0.838,1,1.262,Velodi,157000.0,0.25477707006369427,5.611464968152866,0.4584,0.4584,0.838,0.8162493776939287,0.501604189747863,0.22695792338968046,0.15348812060170364,0.3333333333333333,0.3784
28,Longwy,39,0,0,39,1,1,450,0.8101,1,0.25,Vertuose,15000.0,2.6,30.0,0.0841,0.0841,0.8101,0.22314355131420976,0.13712689199304418,1.2809338454620642,0.8662756762076758,0.3333333333333333,0.3734
29,Saint-Brieuc,12,0,0,12,1,1,130,0.9021,1,0.96,Vélo'Baie,44000.0,0.27272727272727276,2.9545454545454546,0.3955,0.3955,0.9021,0.6729444732424258,0.4135399995032427,0.2411620568168881,0.16309415555283707,0.3333333333333333,0.3679
30,Clermont-Ferrand,82,0,0,82,1,1,1716,0.8533,1,0.87,C-Vélo,147000.0,0.5578231292517006,11.673469387755103,0.3085,0.3085,0.8533,0.6259384308664953,0.38465369533741756,0.4432894167755033,0.29978975154207377,0.3333333333333333,0.3632
31,Landerneau,14,0,0,14,1,1,175,0.9,1,0.47,Ti Vélo,16000.0,0.875,10.9375,0.2324,0.2324,0.9,0.3852624007906449,0.23675268817340658,0.6286086594223741,0.42511827869977603,0.3333333333333333,0.3597
32,Libourne,66,0,0,66,1,1,725,0.7728,1,0.1,CaliVélo,26000.0,2.5384615384615383,27.884615384615387,0.0465,0.0465,0.7728,0.09531017980432487,0.05857031787336713,1.2636920390275583,0.854615310154419,0.3333333333333333,0.3585
33,Mulhouse,60,0,0,60,1,1,995,0.844,1,0.84,VéloCité Mulhouse,108000.0,0.5555555555555556,9.212962962962962,0.2711,0.2711,0.844,0.6097655716208943,0.37471509791916896,0.44183275227903923,0.2988046319543975,0.3333333333333333,0.3551
34,Niort,51,0,0,51,1,1,712,0.7764,1,0.62,Vélo Tanlib,60000.0,0.85,11.866666666666665,0.2405,0.2405,0.7764,0.4824261492442927,0.29646206700766836,0.6151856390902334,0.41604049840989693,0.3333333333333333,0.3547
35,Troyes,30,0,0,30,1,1,406,0.7437,1,0.99,Le Marcel,62000.0,0.4838709677419355,6.548387096774194,0.3132,0.3132,0.7437,0.688134638736401,0.42287470880037925,0.39465419200394874,0.26689850397628484,0.3333333333333333,0.3546
36,PAU,40,0,0,40,1,1,420,0.9548,1,0.72,IDEcycle (Pau),77000.0,0.5194805194805194,5.454545454545455,0.2427,0.2427,0.9548,0.5423242908253617,0.3332708653923711,0.41836851294407224,0.28293613111916116,0.3333333333333333,0.3535
37,Louviers,40,0,0,40,1,1,390,0.7405,1,0.16,Semo Vélo,18000.0,2.2222222222222223,21.666666666666668,0.0615,0.0615,0.7405,0.1484200051182733,0.0912075383384135,1.1700712526502546,0.7913010255694584,0.3333333333333333,0.3532
38,Calais,89,0,0,89,2,2,1011,0.7762,1,0.51,Vel’in + Velect'in,72000.0,1.236111111111111,14.041666666666666,0.1608,0.1608,0.7762,0.412109650826833,0.253250946511326,0.8047382459684076,0.5442319840842296,0.3333333333333333,0.353
39,Les Sables-d'Olonne,16,0,0,16,1,1,198,0.858,1,0.72,Les Petites Reines,,,,0.2263,0.2263,0.858,0.5423242908253617,0.3332708653923711,,,0.3333333333333333,0.352
40,Montpellier,53,0,0,53,1,1,667,0.728,1,0.544,Velomagg,,,,0.2916,0.2916,0.728,0.4343764516025845,0.26693441245521804,,,0.3333333333333333,0.3516
41,Soissons,28,0,0,28,1,1,351,0.692,1,0.59,Cyclovis,28000.0,1.0,12.535714285714285,0.2066,0.2066,0.692,0.4637340162321401,0.2849753173813356,0.6931471805599453,0.4687646787367158,0.3333333333333333,0.3483
42,Reims,63,0,0,63,1,1,691,0.7718,1,1.0,Zebullo,181000.0,0.34806629834254144,3.81767955801105,0.2829,0.2829,0.7718,0.6931471805599453,0.4259550321043671,0.29867119402737613,0.20198669235450514,0.3333333333333333,0.3434
43,Auxerre,55,0,0,55,1,1,690,0.8408,1,0.16,AuxR_M le vélo,35000.0,1.5714285714285714,19.714285714285715,0.0464,0.0464,0.8408,0.1484200051182733,0.0912075383384135,0.9444616088408514,0.6387247255190341,0.3333333333333333,0.3393
44,Agen,16,0,0,16,1,1,175,0.8289,1,0.63,Tempovelo,34000.0,0.47058823529411764,5.147058823529412,0.2276,0.2276,0.8289,0.48858001481867097,0.3002437602494741,0.3856624808119847,0.260817549272279,0.3333333333333333,0.3377
45,Cholet,16,0,0,16,1,1,238,0.8535,1,0.7,Choletbus 2 Roues,57000.0,0.2807017543859649,4.175438596491228,0.2659,0.2659,0.8535,0.5306282510621704,0.3260833774640504,0.24740817331384096,0.16731830718349205,0.3333333333333333,0.3367
46,Valence,68,0,0,68,1,1,769,0.8537,1,0.25,Libélo,68000.0,1.0,11.308823529411764,0.1072,0.1072,0.8537,0.22314355131420976,0.13712689199304418,0.6931471805599453,0.4687646787367158,0.3333333333333333,0.3336
47,Caen,75,0,0,75,1,1,960,0.8369,1,0.4,Twisto Vélolib,106000.0,0.7075471698113207,9.056603773584905,0.1455,0.1455,0.8369,0.33647223662121295,0.2067699997516214,0.5350579371537586,0.36185137738394113,0.3333333333333333,0.3304
48,Brive-la-Gaillarde,26,0,0,26,1,1,315,0.7735,1,0.54,Vélibéo,49000.0,0.5306122448979592,6.428571428571429,0.1922,0.1922,0.7735,0.43178241642553783,0.26534031762498855,0.4256678154256839,0.2878725360830112,0.3333333333333333,0.3288
49,Chantrerie,16,0,0,16,1,1,224,0.827,1,0.21,Naolib Micromob',,,,0.1825,0.1825,0.827,0.19062035960864973,0.11714063574673426,,,0.3333333333333333,0.3279
50,Avignon,29,0,0,29,1,1,520,0.8289,1,0.71,Vélopop,94000.0,0.30851063829787234,5.531914893617022,0.215,0.215,0.8289,0.5364933705145685,0.3296876295113919,0.26888957310241357,0.18184584441241156,0.3333333333333333,0.3276
51,Laon,19,0,0,19,1,1,176,0.7664,1,0.41,Vélo'Cité,25000.0,0.76,7.04,0.1427,0.1427,0.7664,0.3435897043900769,0.21114384890951474,0.5653138090500605,0.3823129538963231,0.3333333333333333,0.3276
52,Pointe-à-Pitre,14,0,0,14,1,1,180,0.8198,1,0.25,Karu'Vélo,16000.0,0.875,11.25,0.0998,0.0998,0.8198,0.22314355131420976,0.13712689199304418,0.6286086594223741,0.42511827869977603,0.3333333333333333,0.3247
53,Royan,8,0,0,8,1,1,80,1.0,1,0.32,VéloModalis - TERRA,19000.0,0.4210526315789474,4.2105263157894735,0.1291,0.1291,1.0,0.2776317365982795,0.1706111466548539,0.35139788683788864,0.23764493624464508,0.3333333333333333,0.322
54,Annecy,80,0,0,80,1,1,874,0.9089,1,0.16,Vélonecy,130000.0,0.6153846153846154,6.723076923076923,0.0581,0.0581,0.9089,0.1484200051182733,0.0912075383384135,0.4795730802618863,0.3243278299395729,0.3333333333333333,0.3089
55,Ardenne Métropole,34,0,0,34,1,1,308,0.8405,1,0.13,Cycl'AM,52000.0,0.6538461538461539,5.923076923076923,0.0686,0.0686,0.8405,0.12221763272424921,0.07510557228079945,0.5031035776720805,0.34024114008258494,0.3333333333333333,0.3072
56,Saint-Étienne,97,0,0,97,1,1,1790,0.7724,1,0.24,Vélivert,175000.0,0.5542857142857143,10.22857142857143,0.0785,0.0785,0.7724,0.2151113796169455,0.13219093603862173,0.44101609237248324,0.2982523375363136,0.3333333333333333,0.3023
57,Cherbourg-en-Cotentin,49,0,0,49,1,1,496,0.7002,1,0.17,CapCotentin,79000.0,0.620253164556962,6.2784810126582276,0.0837,0.0837,0.7002,0.15700374880966478,0.09648244808656922,0.48258241145259567,0.326362993911077,0.3333333333333333,0.2997
58,La Réunion,31,0,0,31,1,1,448,0.7958,1,0.19,Altervelo Libre-service,130000.0,0.23846153846153847,3.4461538461538463,0.1002,0.1002,0.7958,0.17395330712343804,0.10689834511130472,0.21386991452888057,0.14463690336962898,0.3333333333333333,0.2884
59,Tarbes,13,0,0,13,1,1,166,0.722,1,0.07,TLP Mobilites,41000.0,0.3170731707317073,4.048780487804878,0.0694,0.0694,0.722,0.06765864847381481,0.04157781001074054,0.27541197985996657,0.18625684685755547,0.3333333333333333,0.2792
60,Saint-Nazaire,5,0,0,5,1,1,148,0.9892,1,0.05,VélYcéo,72000.0,0.06944444444444445,2.055555555555556,0.0264,0.0264,0.9892,0.048790164169432,0.029982688421785232,0.06713930283762855,0.04540526832968368,0.3333333333333333,0.2725
61,Châtellerault,0,13,0,13,1,0,0,0.9793,1,0.02,-,32000.0,0.0,0.0,0.0097,0.0097,0.9793,0.019802627296179712,0.012169174141170096,0.0,0.0,0.3333333333333333,0.2624
62,Montreuil-Bellay,0,28,0,28,1,0,0,0.7209,1,0.08,-,4000.0,0.0,0.0,0.007,0.007,0.7209,0.07696104113612832,0.0472943462331374,0.0,0.0,0.3333333333333333,0.2459
